Strain	Condition	doubling_time	doubling_time_compared_with_SA/WE
WE_TOR1Del/SA_YGL2497	YNB_limited+Citrulline	6.478848	1.0172361113946
WE_TOR1Del/SA_YGL2497	YNB_limited+Glycine	9.837226	1.15584666143412
WE_TOR1Del/SA_YGL2497	YNB_limited+Guanidine	19.842114	0.986257636034253
WE_TOR1Del/SA_YGL2497	YNB_limited+Isoleucine	5.333433	1.28260678223379
WE_TOR1Del/SA_YGL2497	YNB_limited+Methionine	5.497216	1.23505328583833
WE_TOR1Del/SA_YGL2497	YNB_limited+Phenylalanine	3.40785	1.13391160490492
WE_TOR1Del/SA_YGL2497	YNB_limited+Serine	3.363835	1.08002255187429
WE_TOR1Del/SA_YGL2497	YNB_limited+Threonine	5.063654	1.14918190087311
WE_TOR1Del/SA_YGL2497	YNB_limited+Tryptophan	9.25103	1.13959648240191
WE_TOR1Del/SA_YGL2497	YNB_limited+Tyrosine	5.311485	1.10588363402113
WE_TOR1Del/SA_YGL2497	YNB_limited+Urea	3.353718	1.0548973338798
WE_TOR2Del/SA_YGL2914	Synthetic_wine_must_20%Glucose	3.435643	1.01025295704656
WE_TOR2Del/SA_YGL2914	YNB_complete	1.970206	1.12158727285251
WE_TOR2Del/SA_YGL2914	YNB_complete+D2O	3.894528	1.04693920672445
WE_TOR2Del/SA_YGL2914	YNB_complete+RM	3.523759	1.07773430319743
WE_TOR2Del/SA_YGL2914	YNB_limited+Adenine	11.634209	1.19544200967105
WE_TOR2Del/SA_YGL2914	YNB_limited+Alanine	3.892446	1.1084454893545
WE_TOR2Del/SA_YGL2914	YNB_limited+Ammonium_sulphate	3.123185	1.1746750841086
WE_TOR2Del/SA_YGL2914	YNB_limited+Asparagine	3.366562	1.1586560319386
WE_TOR2Del/SA_YGL2914	YNB_limited+Aspartic_acid	3.480631	1.07581015763943
WE_TOR2Del/SA_YGL2914	YNB_limited+Citrulline	7.035607	1.10465217056807
WE_TOR2Del/SA_YGL2914	YNB_limited+Glycine	9.607804	1.1288902153019
WE_TOR2Del/SA_YGL2914	YNB_limited+Guanidine	22.011098	1.09406757163064
WE_TOR2Del/SA_YGL2914	YNB_limited+Isoleucine	5.359424	1.28885720909338
WE_TOR2Del/SA_YGL2914	YNB_limited+Methionine	5.858459	1.31621334106194
WE_TOR2Del/SA_YGL2914	YNB_limited+Phenylalanine	3.383283	1.12573729958112
WE_TOR2Del/SA_YGL2914	YNB_limited+Serine	3.692028	1.18539509284829
WE_TOR2Del/SA_YGL2914	YNB_limited+Threonine	5.460033	1.23913898970386
WE_TOR2Del/SA_YGL2914	YNB_limited+Tryptophan	9.861535	1.21480209199228
WE_TOR2Del/SA_YGL2914	YNB_limited+Tyrosine	5.305403	1.1046173244557
WE_TOR2Del/SA_YGL2914	YNB_limited+Urea	3.35021	1.05379390781737
