condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
RM	YNB	WA	0	2	P1	2.19547662171157
RM	YNB	two-parent	2	4	P13	2.3233608903024
RM	YNB	WA	0	2	P1	2.29623082987176
RM	YNB	two-parent	2	4	P13	2.23656270615133
RM	YNB	WA	0	2	P2	2.57058969692569
RM	YNB	two-parent	2	4	P14	2.42072676682512
RM	YNB	WA	0	2	P2	2.22160309758247
RM	YNB	two-parent	2	4	P14	2.35262309797601
RM	YNB	WA	0	2	P3	2.33424686967829
RM	YNB	two-parent	2	4	P15	2.22291102107891
RM	YNB	WA	0	2	P3	1.97446038892847
RM	YNB	two-parent	2	4	P15	2.08874274737798
RM	YNB	WA	0	2	P4	2.06632161212068
RM	YNB	two-parent	2	4	P16	2.05349704045045
RM	YNB	WA	0	2	P4	2.12716139587593
RM	YNB	two-parent	2	4	P16	2.08350258912104
RM	YNB	WA	0	2	P5	2.14055807542813
RM	YNB	two-parent	2	4	P17	2.46480301717182
RM	YNB	WA	0	2	P5	2.33124680804932
RM	YNB	two-parent	2	4	P17	2.72134300693804
RM	YNB	WA	0	2	P6	3.05649667929546
RM	YNB	WA	0	2	P6	2.16483214504776
RM	YNB	WA	0	2	P7	NA
RM	YNB	WA	0	2	P7	2.12476001043478
RM	YNB	WA	0	2	P6	2.75142798541097
RM	YNB	WA	0	2	P6	2.09569376410465
RM	YNB	WA	0	2	P7	2.35194476221534
RM	YNB	WA	0	2	P7	2.20450321001457
RM	YNB	WA	0	2	P8	2.25625292496784
RM	YNB	WA	0	2	P8	2.18270716800598
RM	YNB	WA	0	2	P9	2.85550043649625
RM	YNB	WA	0	2	P9	2.4303865159426
RM	YNB	WA	0	2	P10	2.39854047994807
RM	YNB	WA	0	2	P10	2.39692049647604
RM	YNB	WA	0	2	P11	2.59517321007831
RM	YNB	WA	0	2	P11	2.34369739902812
RM	YNB	WA	0	2	P12	2.72245564834738
RM	YNB	WA	0	2	P12	2.53903479239824
RM	YNB	WA	0	2	P13	2.59197482774344
RM	YNB	WA	0	2	P13	2.0872935202129
RM	YNB	WA	0	2	P14	2.02973192610473
RM	YNB	WA	0	2	P14	2.23949859073723
RM	YNB	WA	0	2	P15	2.17643382966796
RM	YNB	WA	0	2	P15	1.97651942616054
RM	YNB	four-parent	2	0	P0	1.49547698363493
RM	YNB	two-parent	2	0	P0	2.56458199882204
RM	YNB	four-parent	2	0	P0	2.39526000045967
RM	YNB	two-parent	2	0	P0	2.72378738141003
RM	YNB	four-parent	2	4	P1	2.01546542401899
RM	YNB	two-parent	2	4	P1	2.61914289824769
RM	YNB	four-parent	2	4	P1	1.91451165664366
RM	YNB	two-parent	2	4	P1	2.79818640847708
RM	YNB	four-parent	2	4	P2	2.15829136350411
RM	YNB	two-parent	2	4	P2	2.28309384234859
RM	YNB	four-parent	2	4	P2	1.96417562919153
RM	YNB	two-parent	2	4	P2	2.01573830717002
RM	YNB	four-parent	2	4	P3	1.9163077787438
RM	YNB	two-parent	2	4	P3	1.98316201257116
RM	YNB	four-parent	2	4	P3	1.89549089536135
RM	YNB	two-parent	2	4	P3	2.11375971653123
RM	YNB	four-parent	2	4	P4	1.33194395694417
RM	YNB	two-parent	2	4	P4	2.54254844360133
RM	YNB	four-parent	2	4	P4	1.36477247536474
RM	YNB	two-parent	2	4	P4	2.19169016199906
RM	YNB	four-parent	2	4	P5	2.10982435301287
RM	YNB	two-parent	2	4	P5	2.41521214289247
RM	YNB	four-parent	2	4	P5	1.37404134944485
RM	YNB	two-parent	2	4	P5	2.3037243836141
RM	YNB	four-parent	2	0	P0	1.98034723932799
RM	YNB	two-parent	2	0	P0	2.29698733822745
RM	YNB	four-parent	2	0	P0	1.92023411543233
RM	YNB	two-parent	2	0	P0	2.15489078551956
RM	YNB	four-parent	2	4	P1	2.0183112592434
RM	YNB	two-parent	2	4	P1	2.34943383148158
RM	YNB	four-parent	2	4	P1	2.20307590691454
RM	YNB	two-parent	2	4	P1	2.41049518475124
RM	YNB	four-parent	2	4	P2	2.27756437040047
RM	YNB	two-parent	2	4	P2	2.41825980158714
RM	YNB	four-parent	2	4	P2	2.05706278052904
RM	YNB	two-parent	2	4	P2	2.34666058456868
RM	YNB	four-parent	2	4	P3	1.79563161849313
RM	YNB	two-parent	2	4	P3	2.30478215481424
RM	YNB	four-parent	2	4	P3	1.76836859164698
RM	YNB	two-parent	2	4	P3	2.15824556157329
RM	YNB	four-parent	2	4	P4	1.48099225064029
RM	YNB	two-parent	2	4	P4	2.32274393368331
RM	YNB	four-parent	2	4	P4	1.5900080695244
RM	YNB	two-parent	2	4	P4	2.11459482468075
RM	YNB	four-parent	2	4	P5	2.08149912161289
RM	YNB	two-parent	2	4	P5	2.06841284690697
RM	YNB	four-parent	2	4	P5	1.23878208008164
RM	YNB	two-parent	2	4	P5	2.53404634346362
RM	YNB	four-parent	2	4	P6	1.4333596201089
RM	YNB	four-parent	2	4	P6	1.36173459407308
RM	YNB	four-parent	2	4	P7	1.71111439106381
RM	YNB	four-parent	2	4	P7	1.66356419357644
RM	YNB	four-parent	2	4	P6	1.73166989883881
RM	YNB	four-parent	2	4	P6	1.55339284490199
RM	YNB	four-parent	2	4	P7	1.50071930567079
RM	YNB	four-parent	2	4	P7	1.20632774264644
RM	YNB	four-parent	2	4	P8	1.41742369867696
RM	YNB	four-parent	2	4	P8	1.46910531299659
RM	YNB	four-parent	2	4	P9	1.62943768280171
RM	YNB	four-parent	2	4	P9	1.25697678161093
RM	YNB	four-parent	2	4	P10	1.25941354717201
RM	YNB	four-parent	2	4	P10	1.50827501139059
RM	YNB	four-parent	2	4	P11	1.49300585677364
RM	YNB	four-parent	2	4	P11	1.64109763876559
RM	YNB	four-parent	2	4	P12	1.47890719291619
RM	YNB	four-parent	2	4	P12	1.42652392254192
RM	YNB	four-parent	2	4	P13	1.62392076234338
RM	YNB	four-parent	2	4	P13	1.75127578836248
RM	YNB	four-parent	2	4	P14	2.017380532242
RM	YNB	four-parent	2	4	P14	2.09524563131686
RM	YNB	four-parent	2	4	P15	2.06592675641215
RM	YNB	four-parent	2	4	P15	2.03304279362224
