condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
HU	YNB+HU	four-parent	1	4	P4	3.17348599495038
HU	YNB+HU	two-parent	1	3	P10	3.35527434242077
HU	YNB+HU	four-parent	1	4	P4	2.96029418501374
HU	YNB+HU	two-parent	1	3	P10	3.48239682600623
HU	YNB+HU	four-parent	1	4	P5	2.97524514963276
HU	YNB+HU	two-parent	1	3	P11	3.10998569426098
HU	YNB+HU	four-parent	1	4	P5	2.81534961054187
HU	YNB+HU	two-parent	1	3	P11	3.14278373896517
HU	YNB+HU	four-parent	1	0	P0	3.38005738221345
HU	YNB+HU	two-parent	1	3	P12	3.22248085847169
HU	YNB+HU	four-parent	1	0	P0	3.26886424440841
HU	YNB+HU	two-parent	1	3	P12	3.03053023599367
HU	YNB+HU	four-parent	1	4	P1	3.26514129465313
HU	YNB+HU	two-parent	1	3	P13	3.17802730040523
HU	YNB+HU	four-parent	1	4	P1	3.24314370181972
HU	YNB+HU	two-parent	1	3	P13	3.17727135659655
HU	YNB+HU	four-parent	1	4	P2	3.10283804199723
HU	YNB+HU	two-parent	1	3	P14	2.94719135980541
HU	YNB+HU	four-parent	1	4	P2	3.0184261329271
HU	YNB+HU	two-parent	1	3	P14	3.0557325421154
HU	YNB+HU	two-parent	1	3	P15	2.93257822212765
HU	YNB+HU	two-parent	1	3	P15	3.14064858614821
HU	YNB+HU	four-parent	1	4	P4	3.24238541751935
HU	YNB+HU	two-parent	1	3	P16	3.09350574936275
HU	YNB+HU	four-parent	1	4	P4	3.36789753117978
HU	YNB+HU	two-parent	1	3	P16	3.1792202675013
HU	YNB+HU	four-parent	1	4	P5	3.55670423119985
HU	YNB+HU	two-parent	1	3	P17	2.91048804492194
HU	YNB+HU	four-parent	1	4	P5	3.15547048430294
HU	YNB+HU	two-parent	1	3	P17	2.70535750608565
HU	YNB+HU	four-parent	1	4	P6	3.50948367970655
HU	YNB+HU	four-parent	1	4	P6	3.15612022008014
HU	YNB+HU	four-parent	1	4	P7	2.98250844197762
HU	YNB+HU	four-parent	1	4	P7	3.02851680835273
HU	YNB+HU	four-parent	1	4	P8	2.86502783221274
HU	YNB+HU	four-parent	1	4	P8	2.90499336165199
HU	YNB+HU	four-parent	1	4	P6	2.99101910052735
HU	YNB+HU	four-parent	1	4	P6	3.10558328678654
